ssn,name,role,rank,licence,address,phone_number,email
3009907461,William Carillo,Pilot,Captain,NAFokkerF100,Fellsmuli 1,8998801,william@nanair.is
2910858778,Virginia Ho,Pilot,Captain,NABAE146,Fellsmuli 2,8998802,virginia@nanair.is
2706838569,Gerard Nelson,Pilot,Captain,NAFokkerF100,Fellsmuli 3,8998803,gerard@nanair.is
2209955782,Allen Ley,Pilot,Captain,NABAE146,Fellsmuli 4,8998804,allen@nanair.is
2907675667,Felecia Moye,Pilot,Captain,NABAE146,Fellsmuli 5,8998805,felecia@nanair.is
1309797899,Tyler Anderson,Pilot,Captain,NAFokkerF28,Fellsmuli 6,8998806,tyler@nanair.is
2410876598,Nan Gage,Pilot,Copilot,NAFokkerF100,Fellsmuli 7,8998807,nan@nanair.is
2211658134,Charla Johnson,Pilot,Copilot,NABAE146,Fellsmuli 8,8998808,charla@nanair.is
2504939263,Sam Preciado,Pilot,Copilot,NABAE146,Fellsmuli 9,8998809,sam@nanair.is
1900769521,Jasmine Hagadone,Pilot,Copilot,NABAE146,Fellsmuli 10,8998810,jasmine@nanair.is
2500812671,Anna Phillips,Pilot,Copilot,NAFokkerF28,Fellsmuli 11,8998811,anna@nanair.is
1309927223,Patricia Bates,Pilot,Copilot,NAFokkerF28,Fellsmuli 12,8998812,patricia@nanair.is
1600904199,Sherry Walker,Flight Attendant,Flight Service Manager,N/A,Fellsmuli 13,8998813,sherry@nanair.is
0303758167,Margarita Fischer,Flight Attendant,Flight Service Manager,N/A,Fellsmuli 14,8998814,margarita@nanair.is
2200763823,Judith Aleshire,Flight Attendant,Flight Service Manager,N/A,Fellsmuli 15,8998815,judith@nanair.is
1308941169,Jacob Blecha,Flight Attendant,Flight Service Manager,N/A,Fellsmuli 16,8998816,jacob@nanair.is
1405853585,Lula Stefani,Flight Attendant,Flight Service Manager,N/A,Fellsmuli 17,8998817,lula@nanair.is
0909862878,Richard Sanders,Flight Attendant,Flight Service Manager,N/A,Fellsmuli 18,8998818,richard@nanair.is
1811931544,John Kline,Flight Attendant,Flight Service Manager,N/A,Fellsmuli 19,8998819,john@nanair.is
0409858797,Evelyn Pickhardt,Flight Attendant,Flight Service Manager,N/A,Fellsmuli 20,8998820,evelyn@nanair.is
3002688722,Stacey Henrickson,Flight Attendant,Flight Attendant,N/A,Fellsmuli 21,8998821,stacey@nanair.is
3003962187,Delores Whitfield,Flight Attendant,Flight Attendant,N/A,Fellsmuli 22,8998822,delores@nanair.is
1311772221,Maribel Lucero,Flight Attendant,Flight Attendant,N/A,Fellsmuli 23,8998823,maribel@nanair.is
2509913418,Katherine Wernimont,Flight Attendant,Flight Attendant,N/A,Fellsmuli 24,8998824,katherine@nanair.is
1103647756,Wilma Horne,Flight Attendant,Flight Attendant,N/A,Fellsmuli 25,8998825,wilma@nanair.is
2807755841,Bernard Carr,Flight Attendant,Flight Attendant,N/A,Fellsmuli 26,8998826,bernard@nanair.is
0409907212,Sara Davis,Flight Attendant,Flight Attendant,N/A,Fellsmuli 27,8998827,sara@nanair.is
1103912131,Robert Swope,Flight Attendant,Flight Attendant,N/A,Fellsmuli 28,8998828,robert@nanair.is
2801645554,John Iversen,Flight Attendant,Flight Attendant,N/A,Fellsmuli 29,8998829,john@nanair.is
1501681497,Rhonda Forman,Flight Attendant,Flight Attendant,N/A,Fellsmuli 30,8998830,rhonda@nanair.is
1811813379,Melissa Paquette,Flight Attendant,Flight Attendant,N/A,Fellsmuli 31,8998831,melissa@nanair.is
0505942924,Carlton Chan,Flight Attendant,Flight Attendant,N/A,Fellsmuli 32,8998832,carlton@nanair.is
1110732819,Arthur Karr,Flight Attendant,Flight Attendant,N/A,Fellsmuli 33,8998833,arthur@nanair.is
2602806942,Teresa Thruman,Flight Attendant,Flight Attendant,N/A,Fellsmuli 34,8998834,teresa@nanair.is
1107951952,Elizabeth Mcfadden,Flight Attendant,Flight Attendant,N/A,Fellsmuli 35,8998835,elizabeth@nanair.is
